"title","industry","genre","year","director","cast","rating","description","poster_url"
"Albela","Bollywood","Romance","2001","Deepak Sareen","Govinda, Aishwarya Rai Bachchan, Jackie Shroff, Namrata Shirodkar","5.3","A Bollywood Romance film released in 2001, directed by Deepak Sareen and starring Govinda, Aishwarya Rai Bachchan, Jackie Shroff, Namrata Shirodkar.",""
"Lagaan: Once Upon a Time in India","Bollywood","Adventure Drama Musical","2001","Ashutosh Gowariker","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne","8.9","A Bollywood Adventure Drama Musical film released in 2001, directed by Ashutosh Gowariker and starring Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne.",""
"Meri Biwi Ka Jawab Nahin","Bollywood","Action Comedy","2004","Pankaj Parashar, S.M. Iqbal","Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde","4.4","A Bollywood Action Comedy film released in 2004, directed by Pankaj Parashar, S.M. Iqbal and starring Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde.",""
"Hum Tumhare Hain Sanam","Bollywood","Drama Romance","2002","K.S. Adiyaman","Shah Rukh Khan, Madhuri Dixit, Salman Khan, Atul Agnihotri","7.1","A Bollywood Drama Romance film released in 2002, directed by K.S. Adiyaman and starring Shah Rukh Khan, Madhuri Dixit, Salman Khan, Atul Agnihotri.",""
"One 2 Ka 4","Bollywood","Action Comedy Drama","2001","Shashilal K. Nair","Shah Rukh Khan, Juhi Chawla, Jackie Shroff, Nirmal Pandey","4.4","A Bollywood Action Comedy Drama film released in 2001, directed by Shashilal K. Nair and starring Shah Rukh Khan, Juhi Chawla, Jackie Shroff, Nirmal Pandey.",""
"Devdas","Bollywood","Musical Romance","2002","Sanjay Leela Bhansali","Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai Bachchan, Jackie Shroff","8.9","A Bollywood Musical Romance film released in 2002, directed by Sanjay Leela Bhansali and starring Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai Bachchan, Jackie Shroff.",""
"Aap Mujhe Achche Lagne Lage","Bollywood","Action Drama Romance","2002","Vikram Bhatt","Hrithik Roshan, Ameesha Patel, Kiran Kumar, Mukesh Tiwari","5.3","A Bollywood Action Drama Romance film released in 2002, directed by Vikram Bhatt and starring Hrithik Roshan, Ameesha Patel, Kiran Kumar, Mukesh Tiwari.",""
"Kabhi Khushi Kabhie Gham...","Bollywood","Drama Musical Romance","2001","Karan Johar","Amitabh Bachchan, Jaya Bhaduri, Shah Rukh Khan, Kajol","10.7","A Bollywood Drama Musical Romance film released in 2001, directed by Karan Johar and starring Amitabh Bachchan, Jaya Bhaduri, Shah Rukh Khan, Kajol.",""
"Na Tum Jaano Na Hum","Bollywood","Comedy Drama Musical","2002","Arjun Sablok","Saif Ali Khan, Hrithik Roshan, Esha Deol, Alok Nath","4.4","A Bollywood Comedy Drama Musical film released in 2002, directed by Arjun Sablok and starring Saif Ali Khan, Hrithik Roshan, Esha Deol, Alok Nath.",""
"Yaadein...","Bollywood","Musical Drama Romance","2001","Subhash Ghai","Jackie Shroff, Hrithik Roshan, Kareena Kapoor, Amrish Puri","5.3","A Bollywood Musical Drama Romance film released in 2001, directed by Subhash Ghai and starring Jackie Shroff, Hrithik Roshan, Kareena Kapoor, Amrish Puri.",""
